Subject,ChannelIndex,ROI,ClassLabel,TrainAccuracy,FixationAccuracy,EncodingAccuracy,DelayAccuracy
k12wm013,79,L Middle Frontal Gyrus,2,1,0.607,0.75,0.643
k12wm013,134,R Fusiform Gyrus,3,1,0.679,0.857,0.643
k12wm003,35,L IFG (p Triangularis),1,0.778,0.326,0.663,0.642
k12wm003,41,L Postcentral Gyrus,3,0.988,0.34,0.824,0.642
k12wm006,25,L Insula Lobe,3,0.756,0.56,0.704,0.642
k12wm008,66,R ParaHippocampal Gyrus,4,0.787,0.755,0.711,0.642
k12wm010,68,L Precentral Gyrus,4,0.809,0.699,0.732,0.642
k12wm011,151,L Superior Temporal Gyrus,1,0.765,0.687,0.761,0.642
k12wm011,163,L Medial Temporal Pole,1,0.73,0.662,0.636,0.642
k12wm011,163,L Medial Temporal Pole,2,0.932,0.728,0.795,0.642
k12wm002,14,Left Cerebral White Matter,4,0.672,0.539,0.617,0.641
k12wm009,69,R Inferior Temporal Gyrus,4,0.812,0.484,0.797,0.641
k12wm010,67,L Precentral Gyrus,2,0.762,0.63,0.62,0.641
k12wm002,82,R Hippocampus,2,0.792,0.544,0.737,0.64
k12wm010,32,L Middle Temporal Gyrus,2,0.674,0.65,0.67,0.64
k12wm013,23,L Medial Temporal Pole,4,0.778,0.4,0.68,0.64
k12wm008,95,Right Cerebral White Matter,3,0.654,0.71,0.6,0.639
k12wm008,124,L Middle Temporal Gyrus,2,0.692,0.753,0.639,0.639
k12wm009,38,L IFG (p Opercularis),3,0.812,0.696,0.703,0.639
k12wm002,42,Left Cerebral White Matter,4,1,0.483,0.879,0.638
k12wm008,87,R IFG (p Triangularis),2,0.671,0.717,0.586,0.638
k12wm009,8,L Middle Temporal Gyrus,4,0.606,0.717,0.659,0.638
k12wm010,103,L Middle Frontal Gyrus,1,1,0.546,0.854,0.638
k12wm011,150,L Superior Temporal Gyrus,2,0.823,0.669,0.723,0.638
k12wm007,72,L IFG (p Orbitalis),3,1,0.655,0.636,0.636
k12wm007,75,L IFG (p Orbitalis),1,0.929,0.436,0.745,0.636
k12wm008,12,R ParaHippocampal Gyrus,3,0.903,0.329,0.771,0.636
k12wm010,72,L ACC,1,0.7,0.713,0.581,0.636
k12wm010,85,L IFG (p Opercularis),4,0.829,0.28,0.614,0.636
k12wm011,77,L SupraMarginal Gyrus,1,0.708,0.564,0.671,0.636
k12wm008,50,R Inferior Temporal Gyrus,2,0.718,0.75,0.647,0.635
k12wm008,68,R Fusiform Gyrus,1,0.912,0.558,0.718,0.635
k12wm008,117,L ParaHippocampal Gyrus,3,0.667,0.717,0.686,0.635
k12wm008,129,L Hippocampus,1,0.787,0.528,0.811,0.635
k12wm010,38,L IFG (p Orbitalis),1,0.757,0.628,0.65,0.635
