Subject,ChannelIndex,ROI,ClassLabel,TrainAccuracy,FixationAccuracy,EncodingAccuracy,DelayAccuracy
k12wm013,138,R Inferior Temporal Gyrus,1,1,0.793,0.862,0.552
k12wm002,32,L Postcentral Gyrus,3,0.8,0.627,0.633,0.551
k12wm006,29,L IFG (p Triangularis),3,0.882,0.291,0.677,0.551
k12wm006,29,L IFG (p Triangularis),4,1,0.43,0.797,0.551
k12wm006,32,L Rolandic Operculum,2,0.8,0.61,0.743,0.551
k12wm008,15,R Fusiform Gyrus,4,0.808,0.741,0.741,0.551
k12wm008,50,R Inferior Temporal Gyrus,1,1,0.282,0.776,0.551
k12wm008,134,L Middle Temporal Gyrus,4,0.662,0.744,0.564,0.551
k12wm011,21,L Middle Temporal Gyrus,4,0.676,0.283,0.594,0.551
k12wm011,30,L ParaHippocampal Gyrus,2,0.65,0.308,0.622,0.551
k12wm002,3,Left Amygdala,3,0.765,0.664,0.672,0.55
k12wm002,17,L Middle Temporal Gyrus,1,0.647,0.674,0.628,0.55
k12wm002,17,L Middle Temporal Gyrus,3,0.75,0.38,0.581,0.55
k12wm002,44,L Middle Frontal Gyrus,4,1,0.396,0.772,0.55
k12wm003,58,L Superior Orbital Gyrus,1,0.726,0.243,0.667,0.55
k12wm008,8,R Inferior Temporal Gyrus,2,0.756,0.738,0.651,0.55
k12wm010,34,L Rectal Gyrus,4,0.797,0.392,0.65,0.55
k12wm011,61,L Inferior Parietal Lobule,3,1,0.419,0.8,0.55
k12wm011,81,L IFG (p Triangularis),2,0.792,0.57,0.59,0.55
k12wm011,97,L ACC,1,0.865,0.651,0.725,0.55
k12wm011,163,L Medial Temporal Pole,4,0.795,0.43,0.695,0.55
k12wm007,66,L Rectal Gyrus,4,0.923,0.471,0.765,0.549
k12wm008,122,L Middle Temporal Gyrus,3,0.684,0.359,0.627,0.549
k12wm011,14,L Middle Temporal Gyrus,3,0.73,0.268,0.655,0.549
k12wm011,14,L Middle Temporal Gyrus,4,0.706,0.282,0.648,0.549
k12wm011,17,L Middle Temporal Gyrus,3,0.795,0.275,0.627,0.549
k12wm011,160,L Medial Temporal Pole,4,0.662,0.299,0.625,0.549
k12wm002,15,Left Cerebral White Matter,1,0.766,0.643,0.738,0.548
k12wm002,77,R Inferior Temporal Gyrus,3,0.846,0.279,0.721,0.548
k12wm008,20,R Middle Temporal Gyrus,4,0.756,0.626,0.652,0.548
k12wm009,49,L Insula Lobe,3,0.7,0.445,0.6,0.548
k12wm009,56,L SupraMarginal Gyrus,2,0.682,0.341,0.57,0.548
k12wm011,82,L IFG (p Triangularis),4,0.718,0.637,0.605,0.548
k12wm011,121,L IFG (p Orbitalis),1,0.771,0.637,0.616,0.548
k12wm013,9,L Rolandic Operculum,1,1,0.484,0.903,0.548
k12wm013,9,L Rolandic Operculum,2,0.875,0.355,0.774,0.548
k12wm013,9,L Rolandic Operculum,3,0.857,0.484,0.613,0.548
k12wm013,16,L Rolandic Operculum,3,0.938,0.742,0.71,0.548
k12wm013,49,L Middle Frontal Gyrus,1,0.938,0.452,0.71,0.548
k12wm013,67,L IFG (p Orbitalis),3,0.857,0.516,0.645,0.548
k12wm013,77,L Middle Frontal Gyrus,1,0.875,0.581,0.806,0.548
k12wm003,35,L IFG (p Triangularis),3,0.771,0.442,0.632,0.547
k12wm003,43,L Postcentral Gyrus,4,0.892,0.587,0.773,0.547
k12wm003,45,L Superior Temporal Gyrus,2,0.925,0.623,0.843,0.547
k12wm007,39,L Insula Lobe,1,1,0.377,0.811,0.547
k12wm011,132,L Insula Lobe,3,0.889,0.27,0.73,0.547
k12wm002,93,R Insula Lobe,3,0.767,0.521,0.672,0.546
k12wm008,116,L Fusiform Gyrus,4,0.829,0.711,0.651,0.546
k12wm010,103,L Middle Frontal Gyrus,2,0.75,0.254,0.677,0.546
k12wm011,75,L SupraMarginal Gyrus,2,0.8,0.38,0.694,0.546
k12wm002,21,L Hippocampus,2,0.944,0.341,0.818,0.545
k12wm002,104,R Middle Frontal Gyrus,4,0.979,0.626,0.699,0.545
k12wm003,38,L Rolandic Operculum,3,0.654,0.266,0.61,0.545
k12wm003,62,L IFG (p Orbitalis),1,0.906,0.512,0.756,0.545
k12wm003,67,L IFG (p Triangularis),1,0.692,0.513,0.635,0.545
k12wm007,46,L Insula Lobe,3,1,0.745,0.8,0.545
k12wm007,46,L Insula Lobe,4,1,0.364,0.836,0.545
k12wm007,54,L Precentral Gyrus,4,1,0.727,0.764,0.545
k12wm007,63,L IFG (p Triangularis),1,0.893,0.618,0.673,0.545
k12wm008,62,R Inferior Temporal Gyrus,2,1,0.474,0.718,0.545
k12wm008,123,L Middle Temporal Gyrus,1,0.897,0.734,0.753,0.545
k12wm010,96,L Putamen,2,0.741,0.276,0.634,0.545
k12wm010,130,L Superior Temporal Gyrus,4,0.721,0.295,0.697,0.545
k12wm011,30,L ParaHippocampal Gyrus,4,0.667,0.622,0.622,0.545
k12wm011,83,L Putamen,2,0.923,0.468,0.792,0.545
k12wm013,11,L Rolandic Operculum,4,0.889,0.333,0.636,0.545
k12wm013,88,R Superior Temporal Gyrus,1,1,0.364,0.879,0.545
k12wm002,2,Left Amygdala,2,0.743,0.696,0.712,0.544
k12wm002,42,Left Cerebral White Matter,3,0.722,0.356,0.55,0.544
k12wm008,19,R Inferior Temporal Gyrus,3,1,0.285,0.804,0.544
k12wm009,35,L Inferior Temporal Gyrus,1,0.788,0.68,0.699,0.544
k12wm002,76,R Fusiform Gyrus,2,0.633,0.676,0.619,0.543
k12wm009,17,L Superior Temporal Gyrus,3,0.833,0.446,0.739,0.543
k12wm009,17,L Superior Temporal Gyrus,4,0.737,0.641,0.554,0.543
k12wm010,13,L Fusiform Gyrus,4,0.955,0.33,0.734,0.543
k12wm010,39,L IFG (p Orbitalis),3,0.727,0.399,0.652,0.543
k12wm010,49,L IFG (p Triangularis),2,1,0.472,0.709,0.543
k12wm010,70,L ACC,2,0.768,0.701,0.677,0.543
k12wm010,70,L ACC,4,0.941,0.528,0.764,0.543
k12wm010,73,L ACC,3,0.742,0.748,0.591,0.543
k12wm011,157,R Middle Temporal Gyrus,4,0.792,0.307,0.638,0.543
k12wm002,7,L Middle Temporal Gyrus,1,0.714,0.7,0.633,0.542
k12wm002,7,L Middle Temporal Gyrus,4,0.741,0.592,0.592,0.542
k12wm003,39,L Rolandic Operculum,1,0.769,0.735,0.671,0.542
k12wm003,83,Right Cerebral White Matter,1,0.71,0.342,0.517,0.542
k12wm003,98,R Medial Temporal Pole,3,0.697,0.346,0.582,0.542
k12wm008,20,R Middle Temporal Gyrus,3,0.784,0.265,0.645,0.542
k12wm010,2,L Amygdala,3,0.741,0.486,0.673,0.542
k12wm002,66,Left Amygdala,2,0.936,0.615,0.733,0.541
k12wm002,85,R Middle Temporal Gyrus,3,0.75,0.357,0.663,0.541
k12wm006,8,L Middle Temporal Gyrus,3,0.681,0.555,0.616,0.541
k12wm006,49,L SupraMarginal Gyrus,3,0.654,0.679,0.623,0.541
k12wm008,63,R Inferior Temporal Gyrus,3,0.737,0.382,0.682,0.541
k12wm008,99,R Insula Lobe,3,0.892,0.675,0.732,0.541
k12wm010,101,L Middle Frontal Gyrus,1,0.986,0.609,0.82,0.541
k12wm011,4,Left Amygdala,1,0.628,0.739,0.592,0.541
k12wm011,8,L Middle Temporal Gyrus,2,0.725,0.675,0.669,0.541
k12wm002,15,Left Cerebral White Matter,4,0.696,0.492,0.556,0.54
k12wm002,65,Left Amygdala,4,0.82,0.372,0.681,0.54
k12wm003,43,L Postcentral Gyrus,3,0.763,0.293,0.68,0.54
k12wm010,38,L IFG (p Orbitalis),2,0.774,0.752,0.723,0.54
k12wm003,82,R Hippocampus,2,0.718,0.734,0.669,0.539
k12wm006,47,L SupraMarginal Gyrus,3,0.895,0.638,0.73,0.539
k12wm009,68,R Inferior Temporal Gyrus,4,0.692,0.257,0.638,0.539
k12wm011,48,L Middle Frontal Gyrus,4,1,0.664,0.766,0.539
k12wm002,24,L Middle Temporal Gyrus,3,0.708,0.348,0.652,0.538
k12wm002,84,R Middle Temporal Gyrus,3,0.75,0.625,0.683,0.538
k12wm007,7,L Middle Temporal Gyrus,2,0.615,0.25,0.615,0.538
k12wm008,15,R Fusiform Gyrus,2,0.713,0.373,0.614,0.538
k12wm008,19,R Inferior Temporal Gyrus,4,0.744,0.665,0.652,0.538
k12wm008,24,R ParaHippocampal Gyrus,2,0.782,0.456,0.658,0.538
k12wm008,119,L Middle Temporal Gyrus,4,0.688,0.677,0.658,0.538
k12wm010,81,L Insula Lobe,3,0.766,0.311,0.667,0.538
k12wm011,107,L Middle Frontal Gyrus,1,0.763,0.372,0.717,0.538
k12wm002,4,Left Amygdala,1,0.682,0.625,0.669,0.537
k12wm002,42,Left Cerebral White Matter,1,0.803,0.409,0.705,0.537
k12wm003,62,L IFG (p Orbitalis),3,0.677,0.724,0.593,0.537
k12wm007,64,L IFG (p Triangularis),4,0.893,0.426,0.722,0.537
k12wm008,0,R ParaHippocampal Gyrus,4,0.786,0.758,0.685,0.537
k12wm009,40,L IFG (p Triangularis),3,0.722,0.625,0.603,0.537
k12wm011,162,L Medial Temporal Pole,1,0.676,0.66,0.599,0.537
k12wm002,41,L ACC,4,0.667,0.735,0.616,0.536
k12wm002,86,R Middle Temporal Gyrus,1,0.595,0.794,0.567,0.536
k12wm002,101,Right Cerebral White Matter,3,0.711,0.742,0.669,0.536
k12wm006,1,L Hippocampus,1,0.718,0.642,0.662,0.536
k12wm007,40,L Insula Lobe,4,0.929,0.393,0.714,0.536
k12wm007,67,L Superior Orbital Gyrus,3,1,0.571,0.839,0.536
k12wm007,69,L IFG (p Orbitalis),4,1,0.696,0.768,0.536
k12wm007,71,L IFG (p Orbitalis),3,0.929,0.482,0.714,0.536
k12wm007,74,L IFG (p Orbitalis),1,0.893,0.5,0.75,0.536
k12wm007,74,L IFG (p Orbitalis),3,0.75,0.661,0.661,0.536
k12wm010,35,L Rectal Gyrus,1,0.848,0.688,0.68,0.536
k12wm010,127,L Superior Temporal Gyrus,1,0.908,0.714,0.771,0.536
k12wm010,139,R Middle Temporal Gyrus,1,0.783,0.727,0.7,0.536
k12wm013,7,L Insula Lobe,1,0.938,0.643,0.857,0.536
k12wm013,7,L Insula Lobe,3,1,0.607,0.679,0.536
k12wm013,84,R IFG (p Triangularis),3,0.938,0.357,0.821,0.536
k12wm013,93,R Fusiform Gyrus,1,0.857,0.786,0.607,0.536
k12wm013,94,R Medial Temporal Pole,3,0.929,0.286,0.643,0.536
k12wm013,134,R Fusiform Gyrus,4,0.714,0.393,0.536,0.536
k12wm003,33,L IFG (p Triangularis),3,0.773,0.412,0.623,0.535
k12wm003,105,R Medial Temporal Pole,2,0.744,0.671,0.632,0.535
k12wm006,49,L SupraMarginal Gyrus,1,0.725,0.679,0.686,0.535
k12wm008,17,Right Cerebral White Matter,1,0.679,0.414,0.669,0.535
k12wm008,117,L ParaHippocampal Gyrus,2,0.688,0.635,0.572,0.535
k12wm008,126,L Hippocampus,3,0.718,0.755,0.6,0.535
k12wm008,131,Left Cerebral White Matter,2,0.738,0.597,0.648,0.535
k12wm010,70,L ACC,3,0.719,0.598,0.606,0.535
k12wm011,13,L Middle Temporal Gyrus,1,0.731,0.726,0.675,0.535
k12wm002,8,L Middle Temporal Gyrus,2,0.672,0.69,0.621,0.534
k12wm002,76,R Fusiform Gyrus,4,0.708,0.362,0.59,0.533
k12wm003,43,L Postcentral Gyrus,1,0.784,0.633,0.64,0.533
k12wm006,42,L Rolandic Operculum,2,0.75,0.243,0.607,0.533
k12wm008,75,R Middle Temporal Gyrus,2,1,0.724,0.763,0.533
k12wm008,127,L Hippocampus,4,0.661,0.705,0.571,0.533
k12wm009,63,L Inferior Parietal Lobule,1,0.676,0.54,0.555,0.533
k12wm010,34,L Rectal Gyrus,1,0.8,0.783,0.733,0.533
k12wm011,123,L IFG (p Triangularis),4,0.921,0.637,0.733,0.533
k12wm013,66,L IFG (p Orbitalis),1,1,0.333,0.733,0.533
k12wm003,38,L Rolandic Operculum,1,0.731,0.61,0.695,0.532
k12wm006,23,L Middle Temporal Gyrus,3,0.731,0.357,0.591,0.532
k12wm007,76,L Fusiform Gyrus,4,1,0.617,0.766,0.532
k12wm008,21,R Middle Temporal Gyrus,4,0.718,0.74,0.584,0.532
k12wm008,48,R Medial Temporal Pole,4,0.705,0.641,0.647,0.532
k12wm008,60,R Inferior Temporal Gyrus,3,0.808,0.316,0.703,0.532
k12wm009,48,L Insula Lobe,2,0.645,0.416,0.636,0.532
k12wm009,48,L Insula Lobe,3,0.756,0.565,0.643,0.532
k12wm011,104,L Middle Frontal Gyrus,3,0.763,0.442,0.604,0.532
k12wm002,13,L Hippocampus,2,0.779,0.569,0.662,0.531
k12wm002,75,R Hippocampus,4,0.739,0.398,0.622,0.531
k12wm002,102,Right Cerebral White Matter,3,0.764,0.497,0.636,0.531
k12wm006,22,L Middle Temporal Gyrus,4,0.905,0.455,0.745,0.531
k12wm007,8,L Middle Temporal Gyrus,3,1,0.694,0.816,0.531
k12wm010,137,Right Cerebral White Matter,1,0.922,0.681,0.814,0.531
k12wm010,137,Right Cerebral White Matter,3,0.828,0.407,0.743,0.531
k12wm013,17,L Rolandic Operculum,4,1,0.719,0.844,0.531
k12wm013,46,L Middle Frontal Gyrus,3,1,0.625,0.688,0.531
k12wm013,47,L Middle Frontal Gyrus,2,0.938,0.531,0.719,0.531
k12wm002,1,Left Amygdala,2,0.636,0.6,0.548,0.53
k12wm010,100,Left Cerebral White Matter,4,0.686,0.403,0.619,0.53
k12wm010,130,L Superior Temporal Gyrus,1,0.764,0.72,0.659,0.53
k12wm011,158,R Middle Temporal Gyrus,3,0.806,0.672,0.642,0.53
k12wm002,77,R Inferior Temporal Gyrus,4,0.739,0.673,0.625,0.529
k12wm003,36,L IFG (p Triangularis),1,0.859,0.37,0.647,0.529
k12wm003,105,R Medial Temporal Pole,3,0.692,0.303,0.568,0.529
k12wm008,5,R Fusiform Gyrus,1,0.842,0.567,0.713,0.529
k12wm008,135,L Middle Temporal Gyrus,1,0.75,0.268,0.65,0.529
k12wm011,6,L Middle Temporal Gyrus,2,0.705,0.68,0.68,0.529
k12wm011,17,L Middle Temporal Gyrus,2,0.789,0.725,0.673,0.529
k12wm011,82,L IFG (p Triangularis),3,0.91,0.611,0.771,0.529
k12wm002,5,Left Cerebral White Matter,4,0.75,0.598,0.685,0.528
k12wm002,36,L IFG (p Opercularis),3,0.686,0.556,0.606,0.528
k12wm007,15,L Middle Temporal Gyrus,2,0.786,0.321,0.698,0.528
k12wm007,15,L Middle Temporal Gyrus,3,0.75,0.736,0.642,0.528
k12wm007,39,L Insula Lobe,3,0.893,0.717,0.792,0.528
k12wm008,13,R ParaHippocampal Gyrus,2,0.75,0.59,0.611,0.528
k12wm008,58,R Fusiform Gyrus,4,0.787,0.692,0.698,0.528
k12wm008,136,L Middle Temporal Gyrus,2,0.792,0.361,0.729,0.528
k12wm009,37,L Insula Lobe,1,0.688,0.642,0.673,0.528
k12wm010,73,L ACC,2,0.679,0.78,0.52,0.528
k12wm011,60,L Inferior Parietal Lobule,1,0.724,0.613,0.679,0.528
k12wm011,75,L SupraMarginal Gyrus,1,0.769,0.593,0.63,0.528
k12wm011,75,L SupraMarginal Gyrus,4,0.74,0.38,0.593,0.528
k12wm011,137,L IFG (p Opercularis),3,0.808,0.306,0.694,0.528
k12wm002,26,L Middle Temporal Gyrus,2,0.625,0.698,0.589,0.527
k12wm006,39,L Middle Temporal Gyrus,1,0.855,0.607,0.8,0.527
k12wm007,54,L Precentral Gyrus,2,0.714,0.655,0.745,0.527
k12wm007,75,L IFG (p Orbitalis),4,1,0.636,0.764,0.527
k12wm010,33,L Middle Temporal Gyrus,3,0.731,0.269,0.581,0.527
k12wm010,47,L IFG (p Triangularis),1,0.757,0.575,0.685,0.527
k12wm011,96,L ACC,1,0.703,0.331,0.601,0.527
k12wm011,138,L IFG (p Opercularis),3,0.851,0.377,0.733,0.527
k12wm002,60,L Precentral Gyrus,3,0.73,0.243,0.645,0.526
k12wm002,82,R Hippocampus,1,0.815,0.342,0.711,0.526
k12wm006,23,L Middle Temporal Gyrus,1,0.711,0.468,0.643,0.526
k12wm008,10,R Inferior Temporal Gyrus,4,0.91,0.603,0.731,0.526
k12wm008,69,R Fusiform Gyrus,1,1,0.301,0.795,0.526
k12wm013,109,R Middle Frontal Gyrus,1,0.917,0.684,0.632,0.526
k12wm013,109,R Middle Frontal Gyrus,4,0.833,0.368,0.895,0.526
k12wm003,51,L Superior Temporal Gyrus,2,0.653,0.727,0.604,0.525
k12wm008,19,R Inferior Temporal Gyrus,1,0.7,0.259,0.544,0.525
k12wm011,61,L Inferior Parietal Lobule,4,0.762,0.688,0.7,0.525
k12wm002,102,Right Cerebral White Matter,1,0.838,0.462,0.713,0.524
k12wm008,1,R ParaHippocampal Gyrus,3,0.833,0.299,0.68,0.524
k12wm010,62,L IFG (p Opercularis),3,0.758,0.476,0.643,0.524
k12wm011,105,L Middle Frontal Gyrus,1,0.797,0.407,0.676,0.524
k12wm011,165,L Middle Temporal Gyrus,1,0.773,0.317,0.621,0.524
k12wm002,41,L ACC,2,0.875,0.47,0.709,0.523
k12wm002,43,Left Cerebral White Matter,3,1,0.609,0.709,0.523
k12wm003,39,L Rolandic Operculum,3,0.8,0.29,0.658,0.523
k12wm003,105,R Medial Temporal Pole,4,0.697,0.477,0.645,0.523
k12wm006,42,L Rolandic Operculum,1,0.963,0.636,0.757,0.523
k12wm008,0,R ParaHippocampal Gyrus,3,1,0.255,0.705,0.523
k12wm010,2,L Amygdala,4,0.741,0.364,0.57,0.523
k12wm010,81,L Insula Lobe,4,0.703,0.674,0.629,0.523
k12wm010,85,L IFG (p Opercularis),1,1,0.727,0.886,0.523
k12wm010,135,R Fusiform Gyrus,2,0.759,0.485,0.562,0.523
k12wm011,131,Left Cerebral White Matter,4,0.8,0.43,0.722,0.523
k12wm011,150,L Superior Temporal Gyrus,4,0.941,0.577,0.715,0.523
k12wm003,73,R Hippocampus,3,0.712,0.265,0.537,0.522
k12wm003,114,R Insula Lobe,3,0.768,0.496,0.652,0.522
k12wm006,2,L Hippocampus,1,0.7,0.484,0.694,0.522
k12wm008,11,R ParaHippocampal Gyrus,4,0.671,0.406,0.551,0.522
k12wm008,18,R Inferior Temporal Gyrus,3,0.654,0.516,0.554,0.522
k12wm008,18,R Inferior Temporal Gyrus,4,0.692,0.548,0.637,0.522
k12wm008,41,R Insula Lobe,1,0.705,0.35,0.662,0.522
k12wm008,52,R Inferior Temporal Gyrus,1,0.75,0.377,0.604,0.522
k12wm008,67,R ParaHippocampal Gyrus,1,0.975,0.618,0.815,0.522
k12wm008,129,L Hippocampus,4,0.75,0.717,0.692,0.522
k12wm008,130,Left Cerebral White Matter,2,0.988,0.541,0.805,0.522
k12wm009,22,L Inferior Temporal Gyrus,4,0.667,0.355,0.601,0.522
k12wm010,31,L Medial Temporal Pole,2,0.848,0.589,0.711,0.522
k12wm013,130,R ParaHippocampal Gyrus,2,0.929,0.391,0.739,0.522
k12wm013,131,R ParaHippocampal Gyrus,3,1,0.217,0.87,0.522
k12wm002,10,L ParaHippocampal Gyrus,3,0.68,0.564,0.628,0.521
k12wm002,93,R Insula Lobe,4,0.84,0.378,0.765,0.521
k12wm003,36,L IFG (p Triangularis),2,0.804,0.58,0.622,0.521
k12wm010,13,L Fusiform Gyrus,1,0.926,0.702,0.723,0.521
k12wm010,84,L IFG (p Opercularis),4,0.892,0.253,0.795,0.521
k12wm002,2,Left Amygdala,4,0.767,0.592,0.664,0.52
k12wm002,25,L Middle Temporal Gyrus,4,0.722,0.559,0.591,0.52
k12wm002,37,L IFG (p Opercularis),2,0.675,0.599,0.592,0.52
k12wm002,46,L Middle Frontal Gyrus,3,0.763,0.493,0.638,0.52
k12wm002,60,L Precentral Gyrus,4,0.91,0.401,0.763,0.52
k12wm002,85,R Middle Temporal Gyrus,1,0.63,0.724,0.541,0.52
k12wm002,99,Right Cerebral White Matter,1,0.75,0.645,0.684,0.52
k12wm002,99,Right Cerebral White Matter,3,0.697,0.401,0.618,0.52
k12wm002,100,Right Cerebral White Matter,2,0.872,0.441,0.75,0.52
k12wm003,78,R Middle Temporal Gyrus,3,1,0.263,0.77,0.52
k12wm003,90,R Hippocampus,1,0.925,0.368,0.763,0.52
k12wm006,47,L SupraMarginal Gyrus,1,0.692,0.724,0.684,0.52
k12wm007,26,L Middle Temporal Gyrus,2,0.643,0.62,0.58,0.52
k12wm007,26,L Middle Temporal Gyrus,3,0.727,0.78,0.74,0.52
k12wm009,68,R Inferior Temporal Gyrus,1,0.705,0.711,0.638,0.52
k12wm010,68,L Precentral Gyrus,1,0.838,0.724,0.642,0.52
k12wm010,70,L ACC,1,0.833,0.717,0.693,0.52
k12wm010,96,L Putamen,1,0.773,0.642,0.732,0.52
k12wm010,96,L Putamen,4,0.806,0.699,0.74,0.52
k12wm010,97,Left Cerebral White Matter,3,0.75,0.39,0.675,0.52
k12wm011,81,L IFG (p Triangularis),3,1,0.46,0.77,0.52
k12wm002,32,L Postcentral Gyrus,2,0.705,0.747,0.658,0.519
k12wm002,71,R Middle Temporal Gyrus,1,0.679,0.67,0.566,0.519
k12wm003,38,L Rolandic Operculum,4,0.797,0.442,0.669,0.519
k12wm003,42,L Postcentral Gyrus,2,0.789,0.695,0.688,0.519
k12wm007,2,L Amygdala,3,0.846,0.63,0.667,0.519
k12wm007,57,L ACC,2,0.769,0.593,0.648,0.519
k12wm008,14,R ParaHippocampal Gyrus,1,0.769,0.418,0.646,0.519
k12wm008,14,R ParaHippocampal Gyrus,4,0.912,0.608,0.804,0.519
k12wm008,25,R Fusiform Gyrus,4,1,0.418,0.829,0.519
k12wm008,60,R Inferior Temporal Gyrus,1,0.718,0.361,0.652,0.519
k12wm010,88,L Middle Frontal Gyrus,3,1,0.491,0.679,0.519
k12wm010,101,L Middle Frontal Gyrus,2,0.759,0.489,0.609,0.519
k12wm010,101,L Middle Frontal Gyrus,3,0.897,0.263,0.714,0.519
k12wm011,104,L Middle Frontal Gyrus,2,0.737,0.675,0.643,0.519
k12wm011,133,Left Cerebral White Matter,1,0.641,0.565,0.626,0.519
k12wm013,33,L Fusiform Gyrus,1,0.812,0.556,0.667,0.519
k12wm013,33,L Fusiform Gyrus,2,0.786,0.593,0.741,0.519
k12wm002,27,L Insula Lobe,4,0.887,0.321,0.62,0.518
k12wm003,51,L Superior Temporal Gyrus,1,0.632,0.424,0.482,0.518
k12wm007,70,L IFG (p Orbitalis),1,0.786,0.5,0.661,0.518
k12wm007,70,L IFG (p Orbitalis),4,1,0.679,0.821,0.518
k12wm007,90,R Fusiform Gyrus,2,0.786,0.321,0.607,0.518
k12wm009,36,L Insula Lobe,3,0.843,0.468,0.712,0.518
k12wm011,156,R Inferior Temporal Gyrus,1,0.823,0.734,0.626,0.518
k12wm002,67,Right Cerebral White Matter,4,0.796,0.55,0.717,0.517
k12wm008,2,R ParaHippocampal Gyrus,1,0.9,0.718,0.826,0.517
k12wm008,2,R ParaHippocampal Gyrus,2,0.77,0.456,0.617,0.517
k12wm008,2,R ParaHippocampal Gyrus,3,0.782,0.416,0.678,0.517
k12wm008,2,R ParaHippocampal Gyrus,4,0.697,0.758,0.651,0.517
k12wm010,136,R Fusiform Gyrus,2,1,0.517,0.767,0.517
k12wm013,4,L IFG (p Triangularis),2,1,0.724,0.862,0.517
k12wm013,78,L Middle Frontal Gyrus,3,0.9,0.241,0.621,0.517
k12wm013,97,R Medial Temporal Pole,2,1,0.517,0.793,0.517
k12wm013,138,R Inferior Temporal Gyrus,3,1,0.621,0.724,0.517
k12wm003,39,L Rolandic Operculum,2,0.744,0.297,0.71,0.516
k12wm008,32,R Middle Temporal Gyrus,4,0.713,0.561,0.624,0.516
k12wm008,47,R Medial Temporal Pole,1,0.7,0.255,0.58,0.516
k12wm008,47,R Medial Temporal Pole,4,0.7,0.745,0.637,0.516
k12wm008,126,L Hippocampus,1,0.811,0.639,0.697,0.516
k12wm008,130,Left Cerebral White Matter,3,0.744,0.56,0.686,0.516
k12wm008,135,L Middle Temporal Gyrus,2,0.803,0.713,0.701,0.516
k12wm008,135,L Middle Temporal Gyrus,3,0.705,0.287,0.631,0.516
k12wm010,71,L ACC,2,0.768,0.648,0.656,0.516
k12wm011,20,L Inferior Temporal Gyrus,1,0.775,0.686,0.654,0.516
k12wm013,3,L IFG (p Opercularis),4,0.875,0.613,0.71,0.516
k12wm013,6,L IFG (p Triangularis),3,0.857,0.452,0.677,0.516
k12wm013,48,L Middle Frontal Gyrus,3,1,0.452,0.581,0.516
k12wm002,21,L Hippocampus,1,0.803,0.326,0.606,0.515
k12wm002,21,L Hippocampus,3,0.812,0.492,0.636,0.515
k12wm010,41,L IFG (p Orbitalis),3,0.859,0.485,0.629,0.515
k12wm010,57,L Insula Lobe,1,0.946,0.566,0.831,0.515
k12wm010,60,L IFG (p Opercularis),1,0.903,0.582,0.813,0.515
k12wm010,102,L Middle Frontal Gyrus,2,1,0.713,0.801,0.515
k12wm002,39,L ACC,3,0.742,0.667,0.681,0.514
k12wm006,8,L Middle Temporal Gyrus,4,0.75,0.247,0.651,0.514
k12wm009,22,L Inferior Temporal Gyrus,3,0.671,0.5,0.551,0.514
k12wm002,60,L Precentral Gyrus,1,0.865,0.73,0.697,0.513
k12wm002,60,L Precentral Gyrus,2,0.872,0.303,0.73,0.513
k12wm003,78,R Middle Temporal Gyrus,4,0.731,0.309,0.605,0.513
k12wm003,114,R Insula Lobe,4,0.766,0.539,0.609,0.513
k12wm008,6,R Inferior Temporal Gyrus,1,1,0.234,0.74,0.513
k12wm008,10,R Inferior Temporal Gyrus,2,0.675,0.712,0.66,0.513
k12wm008,26,R Fusiform Gyrus,2,0.838,0.722,0.703,0.513
k12wm008,51,R Inferior Temporal Gyrus,4,0.731,0.335,0.633,0.513
k12wm010,30,L Medial Temporal Pole,1,0.809,0.538,0.718,0.513
k12wm011,25,L Middle Temporal Gyrus,3,0.743,0.266,0.623,0.513
k12wm011,30,L ParaHippocampal Gyrus,1,1,0.699,0.827,0.513
k12wm002,5,Left Cerebral White Matter,2,0.742,0.701,0.677,0.512
k12wm010,36,L Superior Orbital Gyrus,4,0.794,0.552,0.696,0.512
k12wm010,73,L ACC,4,1,0.402,0.748,0.512
k12wm010,87,Left Cerebral White Matter,2,0.875,0.312,0.792,0.512
k12wm002,23,Left Cerebral White Matter,4,1,0.496,0.687,0.511
k12wm002,66,Left Amygdala,1,0.766,0.526,0.696,0.511
k12wm003,34,L IFG (p Triangularis),3,1,0.557,0.807,0.511
k12wm003,61,L IFG (p Orbitalis),1,0.721,0.695,0.672,0.511
k12wm009,36,L Insula Lobe,4,0.957,0.511,0.741,0.511
k12wm010,58,L Insula Lobe,1,1,0.46,0.861,0.511
k12wm011,122,L IFG (p Orbitalis),3,0.727,0.716,0.624,0.511
k12wm002,40,L ACC,3,0.806,0.379,0.669,0.51
k12wm002,75,R Hippocampus,2,0.944,0.694,0.765,0.51
k12wm002,84,R Middle Temporal Gyrus,2,0.948,0.683,0.74,0.51
k12wm002,85,R Middle Temporal Gyrus,4,0.762,0.653,0.592,0.51
k12wm003,72,R Hippocampus,2,0.731,0.4,0.613,0.51
k12wm007,66,L Rectal Gyrus,3,1,0.725,0.745,0.51
k12wm008,70,R Inferior Temporal Gyrus,1,1,0.293,0.841,0.51
k12wm009,57,L Superior Temporal Gyrus,3,1,0.752,0.897,0.51
k12wm002,71,R Middle Temporal Gyrus,3,0.722,0.368,0.604,0.509
k12wm002,71,R Middle Temporal Gyrus,4,0.72,0.283,0.557,0.509
